0	2	0	0
1	2	0	2
2	2	0	1
3	2	0	3
4	2	0	7
5	2	0	5
6	2	0	6
7	2	1	4
8	2	0	4
9	2	1	2
10	2	1	1
11	2	1	3
12	2	2	3
13	2	2	1
14	2	2	2
15	2	3	4
16	2	2	0
17	2	3	2
18	2	3	1
19	2	3	3
20	6	0	7
21	6	0	5
22	6	0	6
23	6	2	1
24	6	0	4
25	6	1	7
27	6	2	0
28	6	3	3
39	10	3	2
41	10	3	0
42	13	4	6
43	10	3	1
44	14	0	2
45	14	0	0
46	14	0	1
47	14	1	3
48	2	1	0
49	2	1	6
50	2	1	5
51	2	1	7
52	2	2	7
53	2	2	5
54	2	2	6
55	2	4	0
56	2	2	4
57	2	3	6
58	2	3	5
59	2	3	7
60	6	1	3
61	6	1	1
62	6	1	2
63	6	2	5
64	6	1	0
65	6	2	3
66	6	2	2
67	6	2	4
68	6	3	7
69	6	3	5
70	6	3	6
71	10	0	3
72	6	3	4
73	10	0	1
74	10	0	0
75	10	0	2
76	10	1	7
77	10	1	5
78	10	1	6
79	10	3	6
80	10	1	4
81	10	3	4
82	10	3	3
83	10	3	5
84	14	0	6
85	14	0	4
86	14	0	5
87	14	1	7
88	14	0	3
89	14	1	5
90	14	1	4
91	14	1	6
92	14	2	6
93	14	2	4
94	14	2	5
95	14	3	3
96	2	3	0
97	2	4	2
98	2	4	1
99	2	4	3
100	7	0	0
101	6	1	5
102	6	1	6
103	6	3	1
104	6	1	4
105	6	2	7
106	6	2	6
107	6	3	0
108	6	4	3
109	6	4	1
110	6	4	2
111	10	0	7
112	6	4	0
113	10	0	5
114	10	0	4
115	10	0	6
116	10	2	3
117	10	2	1
118	10	2	2
119	10	4	2
120	10	2	0
121	10	4	0
122	10	3	7
123	10	4	1
124	14	1	2
125	14	1	0
126	14	1	1
127	14	2	3
128	14	0	7
129	14	2	1
130	14	2	0
131	14	2	2
132	14	3	2
133	14	3	0
134	14	3	1
135	14	3	7
136	14	2	7
137	14	3	5
138	14	3	4
139	14	3	6
140	14	4	2
141	14	4	0
142	14	4	1
143	14	4	3
144	3	0	0
145	3	0	2
146	3	0	1
147	3	0	3
148	3	0	7
149	3	0	5
150	3	0	6
151	3	1	4
152	3	0	4
153	3	1	2
154	3	1	1
155	3	1	3
156	3	2	3
157	3	2	1
158	3	2	2
159	3	3	4
160	3	2	0
161	3	3	2
162	3	3	1
163	3	3	3
164	7	0	4
165	7	0	2
166	7	0	3
167	7	2	1
168	7	0	1
169	7	1	7
170	6	3	2
171	7	2	0
172	7	3	4
173	6	4	5
174	6	4	6
175	10	1	3
176	6	4	4
177	10	1	1
178	10	1	0
179	10	1	2
180	10	2	7
181	10	2	5
182	10	2	6
183	10	4	6
184	10	2	4
185	10	4	4
186	10	4	3
187	10	4	5
188	15	0	2
189	15	0	0
190	15	0	1
191	15	1	3
192	3	1	0
193	3	1	6
194	3	1	5
195	3	1	7
196	3	2	7
197	3	2	5
198	3	2	6
199	3	4	0
200	3	2	4
201	3	3	6
202	3	3	5
203	3	3	7
204	7	1	0
